date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:22	727/727	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2008:48:02%20GMT	https://www.fcibank.com.pk/robots.txt		(from )
14:19:22	44690/44690	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2008:48:02%20GMT	https://www.fcibank.com.pk/	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/index.html	(from )
14:19:24	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-1762a%22	http://code.jquery.com/jquery-latest.min.js	C:/My%20Web%20Sites/fcibank/code.jquery.com/jquery-latest.min.js	(from https://www.fcibank.com.pk/)
14:19:24	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:48:05%20GMT	https://www.fcibank.com.pk/catalog/js/script.js	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/js/script.1.delayed	(from https://www.fcibank.com.pk/)
14:19:27	111588/111588	---M--	200	added ('OK')	application/javascript	etag:%22240cc2-1b3e4-5302ebd26f227%22	https://www.fcibank.com.pk/catalog/view/theme/default/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/js/jquery-1.9.1.min.js	(from https://www.fcibank.com.pk/)
14:19:27	12073/12073	---M--	200	added ('OK')	application/javascript	etag:%22240cbf-2f29-5302ebd1765aa%22	https://www.fcibank.com.pk/catalog/view/theme/default/js/jquery.marquee.js	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/js/jquery.marquee.js	(from https://www.fcibank.com.pk/)
14:19:32	166673/166673	---M--	200	added ('OK')	application/javascript	etag:%22240cc1-28b11-5302ebd53b33b%22	https://www.fcibank.com.pk/catalog/view/theme/default/js/jssor.slider.js	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/js/jssor.slider.js	(from https://www.fcibank.com.pk/)
14:19:32	92109/92109	---M--	200	added ('OK')	application/javascript	etag:%22240cc3-167cd-5302ebd3ea0ad%22	https://www.fcibank.com.pk/catalog/view/theme/default/js/jssor.js	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/js/jssor.js	(from https://www.fcibank.com.pk/)
14:19:32	15999/15999	---M--	200	added ('OK')	text/css	etag:%22240d09-3e7f-5425a1d209de6%22	https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css	(from https://www.fcibank.com.pk/)
14:19:33	2897/2897	---M--	200	added ('OK')	image/png	etag:%22240d07-b51-5302ebc721913%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/logo.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/logo.png	(from https://www.fcibank.com.pk/)
14:19:36	44690/44690	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2008:48:15%20GMT	https://www.fcibank.com.pk/index.php?route=common/home	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/index9328.html	(from https://www.fcibank.com.pk/)
